Ticker,expected_returns,ann_returns,annual_volatility,beta,av_trade_volume,ann_sharpe,max_drawdowns
AGG,3e-06,0.0007960839802342625,0.061019861165286224,0.07455204235892514,8191368.366533864,-0.6002609439822708,-0.17821709955424717
EEM,0.000347,0.08743277888713115,0.19644656690469525,0.7706662231449658,33948877.37051793,0.2545672150453845,-0.35702789235041976
EFA,0.000393,0.09899337285383744,0.16584244292417696,0.7737271465011312,18861844.22310757,0.3712526680339052,-0.295318276064998
GLD,0.000707,0.17821202314548285,0.1835201618256927,0.15450683499691795,8903645.418326693,0.7671533105677356,-0.2621092600696471
IWM,0.000364,0.09165517570148318,0.22573490838466626,1.1150753593169382,32344220.876494024,0.2402430915297056,-0.3191165011121332
LQD,-1e-05,-0.002548140528836716,0.08651291122610781,0.18699947448009333,24161101.035856575,-0.4620358210966096,-0.24954890869428778
MTUM,0.000624,0.1573179738296881,0.21523139741109865,1.0741515842452374,898918.5657370518,0.5570472144252759,-0.32284524331725317
QQQ,0.00068,0.17143128643996414,0.22782738830693666,1.2617361959968691,51025603.66533864,0.588196897619916,-0.3511871333930507
QUAL,0.000491,0.12381715736668994,0.17389948014998102,0.9890704020961699,1470970.6772908366,0.4967998400409437,-0.28230344400979135
SPY,0.000548,0.13813905125909087,0.17167870472854155,1.0000000000000004,75584238.16733068,0.5866489263963496,-0.24496392197774913
TLT,-0.000252,-0.06357942413141644,0.1580067303703527,0.07012584410120341,30688977.131474104,-0.6392344638715725,-0.43696528978488713
USMV,0.000307,0.07727561949837669,0.12359572266719643,0.5951724252467957,2857948.844621514,0.32243588364872805,-0.17931493217993827
VLUE,0.000667,0.16801870706367933,0.18265175819151155,0.9078796286339639,812259.6015936255,0.7149933015250461,-0.27123908203542696
VNQ,0.000156,0.03936609147052752,0.18898584359317405,0.7310631386300869,4500645.258964144,0.010276791047546847,-0.3447852272103075
