,Eq_weights,Min_Variance,Sharpe,Asset_Class_Constrained,Class_and_Asset_Constrained
AGG,0.07142857142857142,0.8854,0.0,0.25,0.15
EEM,0.07142857142857142,0.0,0.0,0.0,0.0
EFA,0.07142857142857142,0.0,0.0,0.15,0.15
GLD,0.07142857142857142,0.0038,0.5271,0.15,0.15
IWM,0.07142857142857142,0.0,0.0,0.0,0.0
LQD,0.07142857142857142,0.0,0.0,0.0,0.1
MTUM,0.07142857142857142,0.0136,0.0,0.0,0.05
QQQ,0.07142857142857142,0.0,0.0333,0.2458,0.15
QUAL,0.07142857142857142,0.0,0.0,0.0,0.0
SPY,0.07142857142857142,0.0,0.0,0.0042,0.1
TLT,0.07142857142857142,0.0,0.0,0.0,0.0
USMV,0.07142857142857142,0.0971,0.0,0.0,0.0
VLUE,0.07142857142857142,0.0,0.4396,0.2,0.15
VNQ,0.07142857142857142,0.0,0.0,0.0,0.0
Returns,0.0912,0.0114,0.1743,0.11823830778231588,0.1144424437021189
Volatility,0.1274,0.0594,0.1395,0.12239900687691965,0.12111827385095938
Sharpe,0.4228,-0.436,0.9821,0.6612660498438908,0.6369182886229504
